S.No,GB SKU,Part NU,EAN,ASIN,Product Name,Filpkart Title,HSN Code,GST,COGs(inr),Agreed sale price,MRP,Category,Design,Color,Material,L,W,H,Single Pack,Pack of,Pieces,Product Weight(kg),Key words,Dimension,Description,Bullet Point 1,Bullet Point 2,Bullet Point 3,Bullet Point 4,Bullet Point 5
1,GB, 203-4LA,EAN,ASIN,Kuber Industries Portable 4 Layer Shoe Storage Organizer| Easy to Installation Detachable | Footwear Organiser with Wheel |Door-Entrance Living-Room Balcony Decor| 203-4LA| White, 4 Layer Shoe Storage Organizer | Footwear Rack with Wheel |203-4LA|White,94037000,0.18,COGs(inr),Agreed sale price ,MRP,Shoe Rack,Design,Color, PP ,73.5,29,61.5,1,1,1,3.31kg,"shoes flint, chappal stand shoe rack hanger organizer box accessories slipper bedroom home footwear 4 layer",73.5x29x61.5,"The Portable Shoe Storage Organizer offers a functional and space-saving solution for footwear storage. This easy-to-assemble unit features four detachable shelves that can be adjusted to accommodate various shoe types. The organizer's portability is enhanced by its wheeled base, allowing for effortless movement throughout your living space. Ideal for entryways, living rooms, or balconies, this organizer contributes to a clutter-free and aesthetically pleasing environment. ",PACKAGE CONTAIN: 1 Pieces Multi-Row Shoe Organiser Rack | MATERIAL: PP | DIMENSION: 73.5*29*61.5 CM | White ,"Our shoe holder is specifically designed with top flaps, along with little bumps on the surface to prevent the upper shoe from slipping off, keeping your space tidy and neat.","EASY TO USE : These Stylish Shoe Stands are easy to use and assemble. With their sleek and ergonomic design they can be used at home, office and other places also. There are multiple rows to store your shoes. No matter what you wear, slippers or sandals or some other type of footwear, they all can fit here easily.","DURABLE AND STURDY MATERIAL: Our shoe organiser is crafted with the best quality and safe material to store your shoes. These material provide it enhanced strength and durablity to fulfill your needs of shoes collection for a long time.
","Space saver : Our Shoe Organizer provide the best solution for your footwear storage and collection, you can stack shoes on top of other shoes in different rows. It utilize the space efficiently and add a look to your home and office."
,, 203-4LA,,,Kuber Industries Pack of 1 Portable 4 Layer Shoe Storage Organizer| Easy to Installation Detachable | Footwear Organiser with Wheel |Door-Entrance Living-Room Balcony Decor| 203-4LA | red,,94037000,0.18,,,,Shoe Rack,,red, PP ,73.5,29,61.5,1,1,1,3.31kg,"shoes flint, chappal stand shoe rack hanger organizer box accessories slipper bedroom home footwear 4 layer",73.5x29x61.5,"The Portable Shoe Storage Organizer offers a functional and space-saving solution for footwear storage. This easy-to-assemble unit features four detachable shelves that can be adjusted to accommodate various shoe types. The organizer's portability is enhanced by its wheeled base, allowing for effortless movement throughout your living space. Ideal for entryways, living rooms, or balconies, this organizer contributes to a clutter-free and aesthetically pleasing environment. ",PACKAGE CONTAIN: Pack of 1 | Shoe Rack | MATERIAL:  PP  | DIMENSION: 73.5x29x61.5 CM | red |  203-4LA,"Our shoe holder is specifically designed with top flaps, along with little bumps on the surface to prevent the upper shoe from slipping off, keeping your space tidy and neat.","EASY TO USE : These Stylish Shoe Stands are easy to use and assemble. With their sleek and ergonomic design they can be used at home, office and other places also. There are multiple rows to store your shoes. No matter what you wear, slippers or sandals or some other type of footwear, they all can fit here easily.","DURABLE AND STURDY MATERIAL: Our shoe organiser is crafted with the best quality and safe material to store your shoes. These material provide it enhanced strength and durablity to fulfill your needs of shoes collection for a long time.
","Space saver : Our Shoe Organizer provide the best solution for your footwear storage and collection, you can stack shoes on top of other shoes in different rows. It utilize the space efficiently and add a look to your home and office."
,, 203-4LA,,,Kuber Industries Pack of 2 Portable 4 Layer Shoe Storage Organizer| Easy to Installation Detachable | Footwear Organiser with Wheel |Door-Entrance Living-Room Balcony Decor| 203-4LA | red,,94037000,0.18,,,,Shoe Rack,,red, PP ,73.5,29,61.5,1,2,2,3.31kg,"shoes flint, chappal stand shoe rack hanger organizer box accessories slipper bedroom home footwear 4 layer",73.5x29x61.5,"The Portable Shoe Storage Organizer offers a functional and space-saving solution for footwear storage. This easy-to-assemble unit features four detachable shelves that can be adjusted to accommodate various shoe types. The organizer's portability is enhanced by its wheeled base, allowing for effortless movement throughout your living space. Ideal for entryways, living rooms, or balconies, this organizer contributes to a clutter-free and aesthetically pleasing environment. ",PACKAGE CONTAIN: Pack of 2 | Shoe Rack | MATERIAL:  PP  | DIMENSION: 73.5x29x61.5 CM | red |  203-4LA,"Our shoe holder is specifically designed with top flaps, along with little bumps on the surface to prevent the upper shoe from slipping off, keeping your space tidy and neat.","EASY TO USE : These Stylish Shoe Stands are easy to use and assemble. With their sleek and ergonomic design they can be used at home, office and other places also. There are multiple rows to store your shoes. No matter what you wear, slippers or sandals or some other type of footwear, they all can fit here easily.","DURABLE AND STURDY MATERIAL: Our shoe organiser is crafted with the best quality and safe material to store your shoes. These material provide it enhanced strength and durablity to fulfill your needs of shoes collection for a long time.
","Space saver : Our Shoe Organizer provide the best solution for your footwear storage and collection, you can stack shoes on top of other shoes in different rows. It utilize the space efficiently and add a look to your home and office."
,, 203-4LA,,,Kuber Industries Pack of 3 Portable 4 Layer Shoe Storage Organizer| Easy to Installation Detachable | Footwear Organiser with Wheel |Door-Entrance Living-Room Balcony Decor| 203-4LA | red,,94037000,0.18,,,,Shoe Rack,,red, PP ,73.5,29,61.5,1,3,3,3.31kg,"shoes flint, chappal stand shoe rack hanger organizer box accessories slipper bedroom home footwear 4 layer",73.5x29x61.5,"The Portable Shoe Storage Organizer offers a functional and space-saving solution for footwear storage. This easy-to-assemble unit features four detachable shelves that can be adjusted to accommodate various shoe types. The organizer's portability is enhanced by its wheeled base, allowing for effortless movement throughout your living space. Ideal for entryways, living rooms, or balconies, this organizer contributes to a clutter-free and aesthetically pleasing environment. ",PACKAGE CONTAIN: Pack of 3 | Shoe Rack | MATERIAL:  PP  | DIMENSION: 73.5x29x61.5 CM | red |  203-4LA,"Our shoe holder is specifically designed with top flaps, along with little bumps on the surface to prevent the upper shoe from slipping off, keeping your space tidy and neat.","EASY TO USE : These Stylish Shoe Stands are easy to use and assemble. With their sleek and ergonomic design they can be used at home, office and other places also. There are multiple rows to store your shoes. No matter what you wear, slippers or sandals or some other type of footwear, they all can fit here easily.","DURABLE AND STURDY MATERIAL: Our shoe organiser is crafted with the best quality and safe material to store your shoes. These material provide it enhanced strength and durablity to fulfill your needs of shoes collection for a long time.
","Space saver : Our Shoe Organizer provide the best solution for your footwear storage and collection, you can stack shoes on top of other shoes in different rows. It utilize the space efficiently and add a look to your home and office."
,, 203-4LA,,,Kuber Industries Pack of 4 Portable 4 Layer Shoe Storage Organizer| Easy to Installation Detachable | Footwear Organiser with Wheel |Door-Entrance Living-Room Balcony Decor| 203-4LA | red,,94037000,0.18,,,,Shoe Rack,,red, PP ,73.5,29,61.5,1,4,4,3.31kg,"shoes flint, chappal stand shoe rack hanger organizer box accessories slipper bedroom home footwear 4 layer",73.5x29x61.5,"The Portable Shoe Storage Organizer offers a functional and space-saving solution for footwear storage. This easy-to-assemble unit features four detachable shelves that can be adjusted to accommodate various shoe types. The organizer's portability is enhanced by its wheeled base, allowing for effortless movement throughout your living space. Ideal for entryways, living rooms, or balconies, this organizer contributes to a clutter-free and aesthetically pleasing environment. ",PACKAGE CONTAIN: Pack of 4 | Shoe Rack | MATERIAL:  PP  | DIMENSION: 73.5x29x61.5 CM | red |  203-4LA,"Our shoe holder is specifically designed with top flaps, along with little bumps on the surface to prevent the upper shoe from slipping off, keeping your space tidy and neat.","EASY TO USE : These Stylish Shoe Stands are easy to use and assemble. With their sleek and ergonomic design they can be used at home, office and other places also. There are multiple rows to store your shoes. No matter what you wear, slippers or sandals or some other type of footwear, they all can fit here easily.","DURABLE AND STURDY MATERIAL: Our shoe organiser is crafted with the best quality and safe material to store your shoes. These material provide it enhanced strength and durablity to fulfill your needs of shoes collection for a long time.
","Space saver : Our Shoe Organizer provide the best solution for your footwear storage and collection, you can stack shoes on top of other shoes in different rows. It utilize the space efficiently and add a look to your home and office."
,, 203-4LA,,,Kuber Industries Pack of 5 Portable 4 Layer Shoe Storage Organizer| Easy to Installation Detachable | Footwear Organiser with Wheel |Door-Entrance Living-Room Balcony Decor| 203-4LA | red,,94037000,0.18,,,,Shoe Rack,,red, PP ,73.5,29,61.5,1,5,5,3.31kg,"shoes flint, chappal stand shoe rack hanger organizer box accessories slipper bedroom home footwear 4 layer",73.5x29x61.5,"The Portable Shoe Storage Organizer offers a functional and space-saving solution for footwear storage. This easy-to-assemble unit features four detachable shelves that can be adjusted to accommodate various shoe types. The organizer's portability is enhanced by its wheeled base, allowing for effortless movement throughout your living space. Ideal for entryways, living rooms, or balconies, this organizer contributes to a clutter-free and aesthetically pleasing environment. ",PACKAGE CONTAIN: Pack of 5 | Shoe Rack | MATERIAL:  PP  | DIMENSION: 73.5x29x61.5 CM | red |  203-4LA,"Our shoe holder is specifically designed with top flaps, along with little bumps on the surface to prevent the upper shoe from slipping off, keeping your space tidy and neat.","EASY TO USE : These Stylish Shoe Stands are easy to use and assemble. With their sleek and ergonomic design they can be used at home, office and other places also. There are multiple rows to store your shoes. No matter what you wear, slippers or sandals or some other type of footwear, they all can fit here easily.","DURABLE AND STURDY MATERIAL: Our shoe organiser is crafted with the best quality and safe material to store your shoes. These material provide it enhanced strength and durablity to fulfill your needs of shoes collection for a long time.
","Space saver : Our Shoe Organizer provide the best solution for your footwear storage and collection, you can stack shoes on top of other shoes in different rows. It utilize the space efficiently and add a look to your home and office."
,, 203-4LA,,,Kuber Industries Pack of 6 Portable 4 Layer Shoe Storage Organizer| Easy to Installation Detachable | Footwear Organiser with Wheel |Door-Entrance Living-Room Balcony Decor| 203-4LA | red,,94037000,0.18,,,,Shoe Rack,,red, PP ,73.5,29,61.5,1,6,6,3.31kg,"shoes flint, chappal stand shoe rack hanger organizer box accessories slipper bedroom home footwear 4 layer",73.5x29x61.5,"The Portable Shoe Storage Organizer offers a functional and space-saving solution for footwear storage. This easy-to-assemble unit features four detachable shelves that can be adjusted to accommodate various shoe types. The organizer's portability is enhanced by its wheeled base, allowing for effortless movement throughout your living space. Ideal for entryways, living rooms, or balconies, this organizer contributes to a clutter-free and aesthetically pleasing environment. ",PACKAGE CONTAIN: Pack of 6 | Shoe Rack | MATERIAL:  PP  | DIMENSION: 73.5x29x61.5 CM | red |  203-4LA,"Our shoe holder is specifically designed with top flaps, along with little bumps on the surface to prevent the upper shoe from slipping off, keeping your space tidy and neat.","EASY TO USE : These Stylish Shoe Stands are easy to use and assemble. With their sleek and ergonomic design they can be used at home, office and other places also. There are multiple rows to store your shoes. No matter what you wear, slippers or sandals or some other type of footwear, they all can fit here easily.","DURABLE AND STURDY MATERIAL: Our shoe organiser is crafted with the best quality and safe material to store your shoes. These material provide it enhanced strength and durablity to fulfill your needs of shoes collection for a long time.
","Space saver : Our Shoe Organizer provide the best solution for your footwear storage and collection, you can stack shoes on top of other shoes in different rows. It utilize the space efficiently and add a look to your home and office."
,, 203-4LA,,,Kuber Industries Pack of 8 Portable 4 Layer Shoe Storage Organizer| Easy to Installation Detachable | Footwear Organiser with Wheel |Door-Entrance Living-Room Balcony Decor| 203-4LA | red,,94037000,0.18,,,,Shoe Rack,,red, PP ,73.5,29,61.5,1,8,8,3.31kg,"shoes flint, chappal stand shoe rack hanger organizer box accessories slipper bedroom home footwear 4 layer",73.5x29x61.5,"The Portable Shoe Storage Organizer offers a functional and space-saving solution for footwear storage. This easy-to-assemble unit features four detachable shelves that can be adjusted to accommodate various shoe types. The organizer's portability is enhanced by its wheeled base, allowing for effortless movement throughout your living space. Ideal for entryways, living rooms, or balconies, this organizer contributes to a clutter-free and aesthetically pleasing environment. ",PACKAGE CONTAIN: Pack of 8 | Shoe Rack | MATERIAL:  PP  | DIMENSION: 73.5x29x61.5 CM | red |  203-4LA,"Our shoe holder is specifically designed with top flaps, along with little bumps on the surface to prevent the upper shoe from slipping off, keeping your space tidy and neat.","EASY TO USE : These Stylish Shoe Stands are easy to use and assemble. With their sleek and ergonomic design they can be used at home, office and other places also. There are multiple rows to store your shoes. No matter what you wear, slippers or sandals or some other type of footwear, they all can fit here easily.","DURABLE AND STURDY MATERIAL: Our shoe organiser is crafted with the best quality and safe material to store your shoes. These material provide it enhanced strength and durablity to fulfill your needs of shoes collection for a long time.
","Space saver : Our Shoe Organizer provide the best solution for your footwear storage and collection, you can stack shoes on top of other shoes in different rows. It utilize the space efficiently and add a look to your home and office."
,, 203-4LA,,,Kuber Industries Pack of 10 Portable 4 Layer Shoe Storage Organizer| Easy to Installation Detachable | Footwear Organiser with Wheel |Door-Entrance Living-Room Balcony Decor| 203-4LA | red,,94037000,0.18,,,,Shoe Rack,,red, PP ,73.5,29,61.5,1,10,10,3.31kg,"shoes flint, chappal stand shoe rack hanger organizer box accessories slipper bedroom home footwear 4 layer",73.5x29x61.5,"The Portable Shoe Storage Organizer offers a functional and space-saving solution for footwear storage. This easy-to-assemble unit features four detachable shelves that can be adjusted to accommodate various shoe types. The organizer's portability is enhanced by its wheeled base, allowing for effortless movement throughout your living space. Ideal for entryways, living rooms, or balconies, this organizer contributes to a clutter-free and aesthetically pleasing environment. ",PACKAGE CONTAIN: Pack of 10 | Shoe Rack | MATERIAL:  PP  | DIMENSION: 73.5x29x61.5 CM | red |  203-4LA,"Our shoe holder is specifically designed with top flaps, along with little bumps on the surface to prevent the upper shoe from slipping off, keeping your space tidy and neat.","EASY TO USE : These Stylish Shoe Stands are easy to use and assemble. With their sleek and ergonomic design they can be used at home, office and other places also. There are multiple rows to store your shoes. No matter what you wear, slippers or sandals or some other type of footwear, they all can fit here easily.","DURABLE AND STURDY MATERIAL: Our shoe organiser is crafted with the best quality and safe material to store your shoes. These material provide it enhanced strength and durablity to fulfill your needs of shoes collection for a long time.
","Space saver : Our Shoe Organizer provide the best solution for your footwear storage and collection, you can stack shoes on top of other shoes in different rows. It utilize the space efficiently and add a look to your home and office."
,, 203-4LA,,,Kuber Industries Pack of 1 Portable 4 Layer Shoe Storage Organizer| Easy to Installation Detachable | Footwear Organiser with Wheel |Door-Entrance Living-Room Balcony Decor| 203-4LA | green,,94037000,0.18,,,,Shoe Rack,,green, PP ,73.5,29,61.5,1,1,1,3.31kg,"shoes flint, chappal stand shoe rack hanger organizer box accessories slipper bedroom home footwear 4 layer",73.5x29x61.5,"The Portable Shoe Storage Organizer offers a functional and space-saving solution for footwear storage. This easy-to-assemble unit features four detachable shelves that can be adjusted to accommodate various shoe types. The organizer's portability is enhanced by its wheeled base, allowing for effortless movement throughout your living space. Ideal for entryways, living rooms, or balconies, this organizer contributes to a clutter-free and aesthetically pleasing environment. ",PACKAGE CONTAIN: Pack of 1 | Shoe Rack | MATERIAL:  PP  | DIMENSION: 73.5x29x61.5 CM | green |  203-4LA,"Our shoe holder is specifically designed with top flaps, along with little bumps on the surface to prevent the upper shoe from slipping off, keeping your space tidy and neat.","EASY TO USE : These Stylish Shoe Stands are easy to use and assemble. With their sleek and ergonomic design they can be used at home, office and other places also. There are multiple rows to store your shoes. No matter what you wear, slippers or sandals or some other type of footwear, they all can fit here easily.","DURABLE AND STURDY MATERIAL: Our shoe organiser is crafted with the best quality and safe material to store your shoes. These material provide it enhanced strength and durablity to fulfill your needs of shoes collection for a long time.
","Space saver : Our Shoe Organizer provide the best solution for your footwear storage and collection, you can stack shoes on top of other shoes in different rows. It utilize the space efficiently and add a look to your home and office."
